,Регион,ФО,"Число ЗНО, выявленных в отчетном году, радикальное лечение которых закончено в отчетном году, чел.","Число ЗНО, выявленных в отчетном году, радикальное лечение которых закончено в отчетном году, % от впервые выявленных","Число ЗНО, выявленных в отчетном году, радикальное лечение которых будет продолжено в отчетом году, чел.","Число ЗНО, выявленных в отчетном году, радикальное лечение которых будет продолжено в отчетном году, % от впервые выявленных","В том числе с использованием методов только хирургического, %","В том числе с использованием методов только лучевого, %","В том числе с использованием методов только лекарственного, %","В том числе с использованием методов комбинированного или комплексного (кроме химиолучевого), %","В том числе с использованием методов химиолучевого, %",Индикатор,Локализация,Таблица,Тип данных
0,РОССИЯ,,271086,50.2,94295,17.5,58.7,6.9,3.0,29.3,2.1,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
1,Белгородская область,ЦЕНТРАЛЬНЫЙ ФО,3952,57.1,1418,20.5,53.6,12.7,2.9,27.9,2.9,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
2,Брянская область,ЦЕНТРАЛЬНЫЙ ФО,2673,46.9,1236,21.7,54.0,2.3,7.6,34.3,1.8,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
3,Владимирская область,ЦЕНТРАЛЬНЫЙ ФО,2858,51.9,808,14.7,59.0,2.4,0.0,37.5,1.1,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
4,Воронежская область,ЦЕНТРАЛЬНЫЙ ФО,5305,58.8,1635,18.1,53.9,9.4,2.3,32.5,1.8,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
5,Ивановская область,ЦЕНТРАЛЬНЫЙ ФО,2289,49.9,553,12.1,58.0,10.6,1.8,28.0,1.7,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
6,Тверская область,ЦЕНТРАЛЬНЫЙ ФО,2776,51.1,725,13.3,54.4,2.1,2.7,39.2,1.8,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
7,Калужская область,ЦЕНТРАЛЬНЫЙ ФО,2088,48.6,124,2.9,67.6,6.4,2.3,22.3,1.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
8,Костромская область,ЦЕНТРАЛЬНЫЙ ФО,1041,42.9,603,24.9,61.1,3.3,0.0,33.2,2.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
9,Курская область,ЦЕНТРАЛЬНЫЙ ФО,3792,79.4,49,1.0,30.5,14.4,4.9,49.7,0.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
10,Липецкая область,ЦЕНТРАЛЬНЫЙ ФО,2445,52.3,1088,23.3,56.1,11.8,3.1,26.1,2.9,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
11,г. Москва,ЦЕНТРАЛЬНЫЙ ФО,11901,33.9,11555,32.9,70.6,3.2,6.5,17.9,1.8,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
